Exercise,Category,SubCategory,Best,Best Date,Notes
Diamond Push Up,Chest,"Push Up, General","25, 22, 20",2/24/2026,
Dive Bomber Push Up,Chest,"Push Up, General","14, 12, 9",10/16/2025,
Plyo Push Up,Chest,"Push Up, General","19, 15, 13",8/4/2026,Just like push your hands off the ground
Push Ups,Chest,"Push Up, General","42, 34, 30",8/30/2026,
Decline Push Up,Chest,"Push Up, Upper Chest","37, 28, 24",1/25/2026,
"Ab Circuit: 14lb Russian Twist, Lying Leg Raises, Plank",Core,Ab Circuit,"23, 16, 1:10",7/10/2025,
"Ab Circuit: Bicycles, Crunches, Lying Leg Hold 6 inches off ground",Core,Ab Circuit,"32, 16, 0:35",8/24/2025,
Bodybuilding.com Ashley Conrad At Home Core Workout,Core,Ab Workout Video,https://www.youtube.com/watch?v=dJlFmxiL11s&list=PL5agOK6OazEyRcCDFSlEpgKnbR7LknwK7&index=7,,"Short, intense. 8 minutes 20 seconds per exercise no breaks. As of today (11/17/24) I can get through this whole thing except for the bicycles on a good day"
Fraser Wilson 10 Minute Home Ab Workout,Core,Ab Workout Video,https://www.youtube.com/watch?v=uUKAYkQZXko&list=PL5agOK6OazEyRcCDFSlEpgKnbR7LknwK7&index=8,,Beginning is very hard on low abs. Gets easier. I like this one
MadFit 12 Minute Total Core/Ab Workout,Core,Ab Workout Video,https://www.youtube.com/watch?v=k0emMmLD1AE&list=PL5agOK6OazEyRcCDFSlEpgKnbR7LknwK7&index=2,,
Pamela Reif 10 Min Beginner Ab Workout,Core,Ab Workout Video,https://www.youtube.com/watch?v=1f8yoFFdkcY&list=PL5agOK6OazEyRcCDFSlEpgKnbR7LknwK7&index=5,,As of today (11/17/24) I can get through this whole thing except for the bicycles on a good day
Pamela Reif 10 Min Sixpack Beginner to Intermediate with Breaks,Core,Ab Workout Video,https://www.youtube.com/watch?v=MmNbGJS57U8&list=PL5agOK6OazEyRcCDFSlEpgKnbR7LknwK7,,Too easy. I finished this today (11/24/24). It wasn't easy but it wasn't super challenging either
Pamela Reif 12 Min Ab Workout - Medium,Core,Ab Workout Video,https://www.youtube.com/watch?v=Goo0g_zmFBY&list=PL5agOK6OazEyRcCDFSlEpgKnbR7LknwK7&index=4,,No breaks. Realistically today (11/17/24) I won't be close to finishing this. If I want a challenge though...
THENX 6 Pack Abs for Beginners,Core,Ab Workout Video,https://www.youtube.com/watch?v=3p8EBPVZ2Iw&list=PL5agOK6OazEyRcCDFSlEpgKnbR7LknwK7&index=3,,"Not crazy hard, but it's 45 seconds each exercise. Could be good to build stamina. It's really a lil less than 10 minutes if you skip the cardio at beginning and end"
Ab Wheel,Core,Anti-Extension (Resist Arching Back),"18, 16, 14",12/10/2025,
Dead Bugs (Per Side),Core,Anti-Extension (Resist Arching Back),"15x10, 15x8, 10x10",8/30/2026,hold dumbbells
Hollow Body Holds,Core,Anti-Extension (Resist Arching Back),"0:45, 0:35, 0:30",1/5/2026,"instead of one long hold can do 10 seconds on, 5 seconds off or something"
Plank,Core,Anti-Extension (Resist Arching Back),1:40,8/4/2026,
Plank With Shoulder Taps (Taps Per Side),Core,Anti-Extension (Resist Arching Back),"21, 17, 15",3/27/2026,
Renegade Rows (Per Side),Core,Anti-Extension (Resist Arching Back),"15x6, 15x5, 10x4",12/11/2025,Don't swing. Goal is to hold with abs
Reverse Hyper,Core,Anti-Flexion (Resist Rounding Forward),,12/14/2025,
"Copenhagen Plank (one side, rest, other)",Core,Anti-Lateral Flexion,"0:35, 0:25",8/17/2026,Just foot on bench is hard on abductor. Knee on bench is more abs. Still hard on abductor either way
Side Plank,Core,Anti-Lateral Flexion,"1:05 rest, then same other side",3/26/2026,
Suitcase Carry (steps per side),Core,Anti-Lateral Flexion,"90x22 (22 left, rest, 22 right), 90x20 (20 left, rest, 20 right)",2/14/2026,
Farmer Carry (steps per side),Core,Anti-Rotation,"90x40, 90x32, 90x29",1/16/2026,
Landmine Rotations,Core,Anti-Rotation,"7.5x10, 7.5x8, 5x8",3/13/2026,can also stop at the top and do one side at a time if that's better. Just half circles
Pallof Press,Core,Anti-Rotation,,12/14/2025,Black band. see this video. The part that looks like he's pulling is rest. The push is working: https://www.instagram.com/p/DRSF-upDK_W/?img_index=1
Crunch (AbMat),Core,Flexion,"16, 12, 10",10/7/2025,
Decline Sit Up,Core,Flexion,"16, 13, 10",7/29/2025,
Hanging Leg Raise,Core,Flexion,"14, 10, 8",7/6/2025,
Crunch (AbMat Oblique # per side),Core,"Flexion, Oblique","8, 7, 6",10/30/2025,
Decline Oblique Sit Up (Reps per Side),Core,"Flexion, Oblique","7, 5, 4",10/17/2025,
Ball Slams,Core,Power,"20x20, 20x17, 20x15",7/5/2026,
Band Rotations,Core,Power,,,"One peg, on the wall side of the power rack, belly button height. Blue band"
Sideways Throws (No Release),Core,Power,"20x12, 20x10, 20x8",1/16/2026,
Woodchoppers (Band),Core,Power,,12/23/2025,"Peg all the way bottom of rack, blue band. Try red next time"
"Russian Twist (Holding 14lb Ball, Per Side)",Core,Rotation,"21, 18, 16",12/5/2025,
Front Raise (Barbell),Delts,Anterior,"60x8, 55x10, 55x8",4/8/2025,
Front Raise (Dumbbell),Delts,Anterior,"30x10, 30x8, 25x10",1/3/2025,
Scoop Press,Delts,Anterior,"30x10, 30x7, 25x10",3/5/2025,
Arnold Lying Lateral Raises,Delts,General,"20x10, 20x8, 15x10",8/14/2025,Use the flat bench. Hands can go on ground if the feet of bench isn't comfortable 
Lateral Raise,Delts,General,"40x8, 35x10, 35x8",5/9/2025,
Lateral Raise (Band),Delts,General,,,Black band
Lateral Raise (Lean In),Delts,General,"25x12, 25x10, 25x8",8/23/2026,
"Lateral Raise (Lean Out, Cheat Up Slow Down)",Delts,General,"45x8, 40x10, 40x8",3/15/2026,
Landmine Shoulder Press,Delts,Heavy Press,"45x10, 45x8, 45x7",12/16/2025,
Overhead Press Barbell (Standing),Delts,Heavy Press,"95x10, 95x7, 85x9",11/8/2025,
Overhead Press Barbell (Standing) x4,Delts,Heavy Press,"115x8, 105x8, 95x9, 95x7",11/30/2024,
Overhead Press Dumbbell (Standing),Delts,Heavy Press,"45x10, 45x9, 45x8",7/5/2026,
Overhead Press Dumbbell (Standing) x4,Delts,Heavy Press,"45x12, 45x10, 45x8, 40x10",4/8/2025,
Shoulder Press (Dumbbell Seated),Delts,Heavy Press,"55x7, 50x9, 50x7",11/12/2025,Touch dumbbells to shoulders. Try to keep lower back on bench
Shoulder Press (Dumbbell Seated) x4,Delts,Heavy Press,"55x11, 55x8, 50x10, 50x8",4/1/2025,Touch dumbbells to shoulders. Try to keep lower back on bench
Scapular Pull Ups,Delts,Posterior,"10, 8, 6",12/12/2025,
Band External Rotation,Delts,Mobility,"Black band is heavy, yellow a lil light",1/6/2026,
Band Internal Rotation,Delts,Mobility,Green band,,
Scapular Wall Slides,Delts,Mobility,,,
Abduction Row,Delts,Posterior,"50x10, 50x10, 50x8",2/28/2025,Not a big fan of these
Face Pulls,Delts,Posterior,"50x10, 50x8, 45x8",7/2/2026,Make sure thumbs face straight back at top of movement
High Cable Row (One Arm),Delts,Posterior,"50x10, 50x8, 45x8",9/11/2025,
Rear Delt Dumbbell Flys Seated Bent Over,Delts,Posterior,"40x11, 40x10, 40x8",7/18/2025,
Rear Delt One Arm Flys (Cable),Delts,Posterior,"22.5x9, 22.5x8, 20x8",2/24/2025,
Rear Delt One Arm Flys (Dumbbell Kneel Over Bench),Delts,Posterior,"35x10, 35x8, 30x10",11/9/2025,
Upright Row (Barbell),Delts,Posterior,"105x10, 105x9, 105x8",1/3/2025,
Upright Row (Dumbbell),Delts,Posterior,"55x8, 50x10, 50x8",3/17/2025,
Shrugs (Dumbbell),Delts,Traps,"90x16, 90x15, 90x14",2/28/2025,Not the best trap exercise. Hex bar is better because your arms go out wider
Shrugs (Hex Bar),Delts,Traps,"265x10, 265x8, 255x10",2/11/2025,
Burpees,Full Body,Cardio,"16, 13, 10",8/6/2026,
Jump Rope,Full Body,Cardio,"1:10, 1:05, 1:00",1/9/2025,1 min between sets. Time it
Mountain Climbers,Full Body,Cardio,"35, 30, 25",12/19/2025,
Calf Raise Bodyweight on Power Rack,Lower Body,Calves,"25, 20, 21",3/31/2025,"Set 1 toes pointed out, set 2 in, set 3 straight"
Calf Raise Dumbbell Toes Elevated,Lower Body,Calves,"90x14, 90x12, 90x10",8/21/2025,
Wall Sit (One Set),Lower Body,General,1:05,9/12/2025,
"Box Jumps (30"")",Lower Body,"General, Athletic Power","19, 16, 14",12/30/2024,
Kettlebell Swings,Lower Body,"General, Athletic Power","40x15, 40x12, 40x10",12/23/2025,Might need more weight. Should honestly research kettlebell exercises
Jump Squats bodyweight,Lower Body,"General, Athletic Power","20, 16, 13",8/13/2026,
Jump Squats with 14lb Ball,Lower Body,"General, Athletic Power","19, 15, 13",7/28/2025,
Jump Squats with 20lb Ball,Lower Body,"General, Athletic Power","19, 15, 13",1/23/2026,
Jump Lunges (Per Side),Lower Body,"General, Cardio","16, 15, 14",1/18/2026,
Bulgarian Split Squat x4,Lower Body,"General, Heavy","55x10, 55x8, 50x10, 50x8",12/8/2024,
Goblet Squats (Kettlebell),Lower Body,"General, Heavy","40x18, 40x15, 40x12",8/7/2026,Can also do slow 3-5 seconds down or hold at bottom if they can't be that heavy
Hex Bar Squat x4,Lower Body,"General, Heavy","185x12, 185x10, 185x9, 185x8",12/23/2025,
Hip Thrust (Barbell) x4,Lower Body,"General, Heavy","245x10, 245x8, 225x10, 225x8",5/8/2025,
"Lunge (Dumbbell, One leg, rest, then other leg)",Lower Body,"General, Heavy","50x9, 50x8, 45x10",8/13/2026,
Reverse Lunge (Dumbbell),Lower Body,"General, Heavy","55x12, 55x10, 55x8",6/20/2026,
Reverse Lunge (Landmine),Lower Body,"General, Heavy","60x10, 60x8, 55x8",7/24/2026,
Romanian Deadlift (Barbell),Lower Body,"General, Heavy","145x12, 145x10, 145x8",1/11/2026,
Romanian Deadlift (Dumbbell),Lower Body,"General, Heavy","60x10, 60x8, 55x10",7/24/2026,
Squat x4,Lower Body,"General, Heavy","255x4, 245x5, 245x4, 235x4",4/7/2025,Shoot for 5 reps
"Step Ups, 20in, one foot at time",Lower Body,"General, Heavy","40x8, 35x10, 35x8",3/13/2026,
"Step Ups, 24 in, one foot at a time",Lower Body,"General, Heavy","30x8, 25x8, 20x8",1/8/2026,This is a pretty high step
Pistol Squat,Lower Body,"General, Mobility",,,
Skater Squats,Lower Body,"General, Mobility",,12/14/2025,Basically reverse lunge but don't let toe hit ground. Use yoga blocks for now
Cable Cuff Kickbacks,Lower Body,Glutes,"22.5x12, 22.5x10, 22.5x8",4/7/2025,
Prone Glute Kicks,Lower Body,Glutes,"12, 11, 10",11/23/2024,Focus on form. Slow
"Hip Thrust (Bodyweight, Both Legs)",Lower Body,Hamstrings,,,
"Hip Thrust (Bodyweight, One Leg at a Time)",Lower Body,Hamstrings,,,
Leg Curl (Standing Cable),Lower Body,Hamstrings,"35x8, 32.5x10, 32.5x8",8/7/2025,
Nordic Curls,Lower Body,Hamstrings,,,This link has a pic of how to do it: https://repfitness.com/products/ab-5000-5100-leg-attachment?variant=41067581800606&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=23193314099&gclid=Cj0KCQiAyP3KBhD9ARIsAAJLnnZc_ZfJOoAXkJF4gCB7icplK4YagXP-nrnRg0C-BKdj9QPy1Q7Jlh8aAnDhEALw_wcB 
Leg Extension (Seated Cable),Lower Body,Quads,"35x12, 35x12, 35x12",12/1/2024,
Fraser Wilson 10 Minute Perfect Mobility,Stretch Video,,https://www.youtube.com/watch?v=Igzmhbghcd4&list=PL5agOK6OazEy4xvpC_cbWznOiZHEBTJ1M&index=3,,Pretty easy stretch routine
Kaleigh Cohen Strength Post Workout Stretch,Stretch Video,,https://www.youtube.com/watch?v=IjH_8pdybfs,,Pretty easy stretch routine. Prob good after legs. Good leg stretches but not intense on hips like the hip-focused routines
MadFit 12 Min Daily Stretch,Stretch Video,,https://www.youtube.com/watch?v=itJE4neqDJw,,Pretty easy stretch routine
Tom Merrick Hip Mobility 1,Stretch Video,,https://www.youtube.com/watch?v=jj2AAH6jbHk&list=PL5agOK6OazEy4xvpC_cbWznOiZHEBTJ1M,,This is pretty intense for stretching. Has long cossack squat sequence
Tom Merrick Hip Mobility 2,Stretch Video,,https://www.youtube.com/watch?v=5OAsrNU_ZTE,,Less intense version of Tom Merrick Hip Mobility 1. Don't do this one anymore. It's so slow. So much talking. Very hard to just follow along once you know the exercises
Tone & Tighten 8 Minute Stretch,Stretch Video,,https://www.youtube.com/watch?v=FI51zRzgIe4&list=PL5agOK6OazEy4xvpC_cbWznOiZHEBTJ1M&index=5,,Pretty easy stretch routine
Bench Dips,Triceps,,"35, 30, 25",11/15/2025,I do feel these but they probably aren't the best
Bench Press Barbell (Close Grip),Triceps,,"135x9, 135x8, 125x10",2/21/2025,Try not to bounce off the chest
Skullcrusher Dumbbell,Triceps,,"30x10, 30x8, 25x12",3/14/2025,
Skullcrusher W Bar,Triceps,,"27.5x12, 27.5x10, 27.5x10",8/30/2026,Just put the amount of weight on each side of the bar. 15lbs means a 15 plate on each side
Tricep Extension (Cable Overhead One Arm),Triceps,,,,
Tricep Kickback (Dumbbell),Triceps,,"30x8, 25x10, 25x8",11/4/2025,
"Tricep Pushdown Cable (One Arm at a Time, Handle Grip Overhand)",Triceps,,"22.5x12, 22.5x10, 22.5x8",12/9/2025,
"Tricep Pushdown Cable (One Arm at a Time, Handle Grip Underhand)",Triceps,,"22.5x8, 20x10, 20x8",8/10/2026,
"Tricep Pushdown Cable (One Arm at a Time, No Handle)",Triceps,,"27.5x8, 25x9, 25x8",6/17/2025,
Tricep Pushdown Rope,Triceps,,"55x10, 55x8, 50x9",7/30/2025,
Anabolic Aliens 5 Minute Full Body Warm Up,Warmup Video,,https://www.youtube.com/watch?v=1e528F0pYPg&list=PL5agOK6OazEy4xvpC_cbWznOiZHEBTJ1M&index=3,,A little more intense. This one will wake you up. Skip the burpees unless you want to be dead already when you start your workout
Juice & Toya 5 Minute Active/Dynamic Warmup,Warmup Video,,https://www.youtube.com/watch?v=pPlFSqXnbls,,Solid dynamic stretch workout
MadFit 5 Minute Upper Body Warmup,Warmup Video,,https://www.youtube.com/watch?v=mf6CZ5_7dfc,,Prob good before chest/shoulders
BreatheAndFlow 30 Minute Full Body Yoga Strength Workout,Yoga Video,,https://youtu.be/UnpGR1t5UOY?si=SQjvOyl3cyAd0kLu,,The workout is really only like 20 minutes but it's pretty insane. Triceps were cooked like 1 minute in. Overall good but I need breaks
